pathogen,yob,province,n,vacage_group,anyshot,shots_1,shots_2,shots_3,shots_4,coverage
Mumps,2018,Phú Yên,17526,(0-1y],24,24,0,0,0,0.0013693940431359123
Mumps,2018,Phú Yên,17526,all,1838,1327,509,2,0,0.10487276047015862
Mumps,2018,Quảng Bình,20607,(0-1y],22,22,0,0,0,0.0010675983888969768
Mumps,2018,Quảng Bình,20607,all,1378,1218,159,1,0,0.066870480904547
Mumps,2018,Quảng Nam,33229,(0-1y],63,63,0,0,0,0.0018959342742784916
Mumps,2018,Quảng Nam,33229,all,4930,4621,308,1,0,0.14836438051099943
Mumps,2018,Quảng Ngãi,28438,(0-1y],73,73,0,0,0,0.002566987833180955
Mumps,2018,Quảng Ngãi,28438,all,4153,3833,318,2,0,0.14603699275617132
Mumps,2018,Quảng Ninh,23838,(0-1y],162,162,0,0,0,0.006795872136924239
Mumps,2018,Quảng Ninh,23838,all,6413,5815,594,4,0,0.2690242470005873
Mumps,2018,Quảng Trị,15178,(0-1y],21,21,0,0,0,0.0013835814995388062
Mumps,2018,Quảng Trị,15178,all,1192,1084,108,0,0,0.0785347213071551
Mumps,2018,Sóc Trăng,28238,(0-1y],65,65,0,0,0,0.0023018627381542604
Mumps,2018,Sóc Trăng,28238,all,1429,1338,89,2,0,0.050605566966499045
Mumps,2018,Thanh Hóa,76040,(0-1y],410,408,2,0,0,0.005391899000526039
Mumps,2018,Thanh Hóa,76040,all,11684,10878,799,7,0,0.1536559705418201
Mumps,2018,Hồ Chí Minh,127527,(0-1y],1071,1069,2,0,0,0.008398221553082877
Mumps,2018,Hồ Chí Minh,127527,all,38820,35034,3763,23,0,0.3044061257616034
Mumps,2018,Thái Bình,34147,(0-1y],581,577,4,0,0,0.017014671859899844
Mumps,2018,Thái Bình,34147,all,5376,4506,860,9,1,0.15743696371569976
Mumps,2018,Thái Nguyên,21658,(0-1y],15,15,0,0,0,6.925847261981716e-4
Mumps,2018,Thái Nguyên,21658,all,386,383,3,0,0,0.01782251362083295
Mumps,2018,Thừa Thiên Huế,27929,(0-1y],61,60,1,0,0,0.002184109706756418
Mumps,2018,Thừa Thiên Huế,27929,all,3593,3210,380,3,0,0.12864764223566902
Mumps,2018,Tiền Giang,32301,(0-1y],112,111,1,0,0,0.00346738491068388
Mumps,2018,Tiền Giang,32301,all,4376,3984,388,4,0,0.13547568186743444
Mumps,2018,Trà Vinh,23105,(0-1y],50,50,0,0,0,0.002164033758926639
